connector_id,node_id,type,x,y,z,roi,confidence
1146,4349,post,215.02406299956795,79.0817307279867,135.9284439526673,SCL(R),0.979812
1147,5896,post,185.08979283129463,95.3307148593794,151.67952728679822,PLP(R),0.87336
1148,1889,post,244.01680361331552,68.42858260265635,125.71494927943394,SCL(R),0.99676
1149,1762,post,236.34197492932145,95.15506314398311,136.0818192327836,ICL(R),0.858759
1150,1990,post,238.91952952046904,91.05186817695912,139.0851814317699,ICL(R),0.902819
1151,2809,post,222.25321671739638,71.74681393877448,106.73435991231239,SCL(R),0.965207
1152,2825,post,224.9940652778741,69.11401435557636,105.67330161690884,SCL(R),0.812813
1153,2121,post,239.97614260310547,82.23247131126466,128.60423620381331,SCL(R),0.966238
1154,2809,post,222.19272322941964,71.70743716540238,106.73922516374651,SCL(R),0.991
1155,3183,post,234.66688841890948,68.12521357558447,115.21038738496134,SCL(R),0.67
1156,1944,post,238.92856382789995,91.56566138224824,139.42999370403538,ICL(R),0.98338
1157,2784,post,217.92835122200552,69.13059834489997,98.72371357660955,SLP(R),0.999912
1158,2114,post,239.40984911992427,82.00084267626885,129.04568079682002,SCL(R),0.983022
1159,8588,post,176.8593106685452,95.39692895247165,143.98275443286792,PLP(R),0.889135
1160,7210,post,245.48842226085767,102.76117971959944,144.7642797720418,ICL(R),0.667705
1161,1801,post,236.99806606859235,86.2735719101969,135.20320619458204,SCL(R),0.925209
1162,1874,post,239.14489943895623,72.52959938303022,129.18075390295814,SCL(R),0.810963
1163,1901,post,238.56394294546993,72.49603208135437,129.27048630070993,SCL(R),0.951061
1164,5091,post,191.70549861918053,104.49354637978311,153.14287722340353,PLP(R),0.333014
1165,2123,post,237.97196227526354,81.26101479284063,127.91126574640384,SCL(R),0.729704
1166,2247,post,238.37314037147712,75.90186670339446,125.12588647041323,SCL(R),0.828072
1167,2741,post,218.6345986219569,69.02440394102732,104.63096778933483,SLP(R),0.986868
1168,1875,post,239.1815148924552,71.71354196761419,129.0328172198254,SCL(R),0.968471
1169,2238,post,239.12657384980903,78.36832361229631,126.95401179198217,SCL(R),0.930718
1170,1587,post,232.65379403277535,101.58905252980138,144.69059571854297,ICL(R),0.964126
1171,1875,post,239.1818327072362,71.663185551586,128.98714936113285,SCL(R),0.975735
1172,2224,post,238.55513621147543,76.58767427408245,125.0582291990396,SCL(R),0.842028
1173,7146,post,254.6850556130704,97.39716898600973,142.66652026983087,ICL(R),0.552647
1174,6697,post,232.11887201860122,107.43515523383734,147.53875563677622,ICL(R),0.803486
1175,7587,post,234.4844793986686,107.58929409779637,146.00315255346212,ICL(R),0.953123
